,Cod. Prod,Nome,Margem,Pr. Venda
30,f1409211,001 MILHO VERDE.CX.ETTI LATA.........24X170G CAJAMAR,50,2.99
31,f141424,001 CREME CHANTILLY.UN.FLEISCH.........01X1L FLEISCHMANN,50,25.20
32,f0311211,000 BISC.UN.TORTUGUITA BRIGADEIRO.....1X130G BAGLEY,50,2.5
33,f3531,001 CREME CHANTILLY.UN.FLEISCH......01X200ML FLEISCHMANN,50,5.99
34,f2224,001 COCO RALADO.UN.SOCOCO............01X100G SOCOCO,50,6.99
35,f134405,"099 PERFUME.UN.UAU FLORES VERM SEDU..1X500ML %AGR:  00,0000 BASE ST: *********11,28 VALOR ST: **********2,03",50,4.99
36,f3011,"099 PERFUME.UN.UAU REQUINTE..........1X500ML %AGR:  00,0000 BASE ST: **********7,52 VALOR ST: **********1,35",50,4.99
37,f2710211,001 PILHA ALC POWER AA C4 (LR6XABL4P3)..1X04 PANASONIC,50,11.99
38,f3011211,001 PILHA ALC POWER AAA C4(LR03XABL4P3).1X04 PANASONIC,50,13.5
39,f3011212,001 PILHA ALC.POWER AA C2(LR6XAB 2B)....1X02 PANASONIC,50,6.99
40,f1105211,"099 BATATA PALHA UN.TRADICIONAL........1X70G %AGR:  47,7600 BASE ST: *********37,76 VALOR ST: **********2,20",50,5.5
41,f1600,"099 POP.MICRO UN.MANTEIGA............01X100G %AGR:  41,3500 BASE ST: *********18,74 VALOR ST: **********0,99",50,5.5
42,f4177,001 CH.DP.PLUTONITA BABA DE BRUXA....01X200G ARCOR,50,8.5
43,f4176,001 CH.DP.PLUTONITA CAB.ABOBORA......01X200G ARCOR,50,8.5
44,f4175,001 CH.DP.PLUTONITA LINGUA ACIDA.....01X180G ARCOR,50,8.5
45,f1873,"099 SUFRESH TP CX MACA BEBIDA........12X01LT %AGR:  00,0000 BASE ST: *********37,99 VALOR ST: **********6,08",50,7.99
46,f1602,"099 POP.MICRO UN.COBERT CARAMELO.....01X160G %AGR:  41,3500 BASE ST: *********48,05 VALOR ST: **********2,53",50,8.99
47,f174120,001 CH.DP.TORTUGUITA HUEVITOS.........1X300G ARCOR,50,2.2
48,f72119,001 FERMENTO DP.FLE.INST.PROMOC...1X16X125GR FLEISCHMANN,50,7.99
49,f025989,001 BL.B.TOFFE UN.LEITE...............1X500G ARCOR,50,19.5
50,f3006217,001 CH.DP.TOPLINE GUARANA............1X20X6G ARCOR,50,0.99
51,f578475,001 PIR.PCT.7BELO.FRAMBOESA..........01X600G ARCOR,50,13.5
52,f2899,"099 POP.MICRO UN.C SAL...............01X100G %AGR:  41,3500 BASE ST: *********41,89 VALOR ST: **********2,21",50,5.99
53,f8019,"099 POP.MICRO UN.MANT.CINEMA.........01X100G %AGR:  41,3500 BASE ST: *********41,89 VALOR ST: **********2,21",50,5.99
54,f1409212,001 CH.DP.POOSH 7BELO ................1X200G ARCOR,50,6.99
55,f0308213,001 CH.DP.POOSH HORTELA...............1X200G ARCOR,50,6.99
56,f3006213,001 CH.DP.POOSH TUTTI FRUTTI..........1X200G ARCOR,50,6.99
57,f4163,001 BL.UN.7BELO FRAMBOESA.............1X600G ARCOR,50,13.5
58,f02689,"099 BL.B.TOFFE UN.CHOCOLATE...........1X500G %AGR:  00,0000 BASE ST: **********7,81 VALOR ST: **********1,41",50,19.99
59,f0902221,001 V35   CX.VASSOURA VARRE FACIL......12X01 CONDOR,50,10.5
60,f0902222,"099 NECTAR.UN.MARACUJA SHEFA...........1X1LT %AGR:  00,0000 BASE ST: *********16,08 VALOR ST: **********2,89",50,5.99
61,f0902223,"099 NECTAR.UN.ABACAXI SHEFA............1X1LT %AGR:  00,0000 BASE ST: *********16,08 VALOR ST: **********2,89",50,5.99
62,f0902224,"099 BEBIDA FRUTA.UN.PESSEGO SHEFA......1X1LT %AGR:  00,0000 BASE ST: *********15,66 VALOR ST: **********2,82",50,5.99
63,f0902225,"099 TORT.CX.7BELO.FRAMBOESA.........24X15.5G %AGR:  00,0000 BASE ST: *********11,38 VALOR ST: **********2,05",50,1.5
0,f2623,AJAX FRESH LIMP PESADA 500ML*,50,8.99
1,f1436,AJI-SAL CHURRASCO 500G (24),50,8.2
2,f1612212,DOCIGOMA MINI EUCALIPTO 60G,50,1.99
3,f4503,MID REFRESCO ABACAXI 15X20G (8),50,1.2
4,f4374,MID REFRESCO CAJU 15X20G,50,1.2
5,f5114,MID REFRESCO GOIABA 15X20G (8),50,1.2
6,f5214,MID REFRESCO GRAVIOLA 15X20G (8),50,1.2
7,f6145,MID REFRESCO GROSELHA 15X20G (8),50,1.2
8,f7243,MID REFRESCO GUARANA 15X20G (8),50,1.2
9,f5213,MID REFRESCO JABUTICABA 15X20G (8),50,1.2
10,f4504,MID REFRESCO LARANJA 15X20G (8),50,1.2
11,f6144,MID REFRESCO LIMONADA SUICA 15X20G (8),50,1.2
12,f5171,MID REFRESCO MANGA 15X20G (8),50,1.2
13,f4693,MID REFRESCO MORANGO 15X20G (8),50,1.2
14,f4501,MID REFRESCO UVA 15X20G (8),50,1.2
