,Cod. Prod,Nome,Margem,Pr. Venda
5,f0009,MORTADELA DEFUMADA OURO PERDIGAO,84,28.99
6,f2345,"PATE DE PRESUNTO RESFRIADO SADIA 2,5KG",50,4.20
0,f2074,BIC-APAR DE BARBEAR COMFORT 3 ACT NORMAL C/12 UNDS,50,4.99
1,f3550,BIC-APAR DEPILACAO COMFORT 2 WOMEN 6X2 UNDS,50,2.99
2,f201910,BIC-APAR DEPILACAO SOLEIL 12X1 UNDS LEV12 PAG10,50,4.2
3,f101011,SCB-PANO MULTIUSO SCOTCH BRITE AZUL C/05,50,10.2
4,f5916,RAY-PILHA ALCALINA AAA C/02 UNDS,50,7.99
5,f6191,RAY-PILHA ALCALINA AA C/02 UNDS,50,6.99
6,f6193,RAY-PILHA DE ZINCO AA C/04 UNDS,50,6.20
7,f55889,RAY-PILHA DE ZINCO AAA C/04 UNDS,50,6.99
8,f6192,RAY-PILHA ELET ALCALINA TAM V23GA A23 C/05 UNDS,50,6.5
9,f7280,RAY-LAMPADA DE LED 9W LUZ BRANCA,50,13.2
10,f2631,BIC-ISQUEIRO A GAS MINI J5 LV04/PG03,50,2.99
11,f2135,BIC-ISQUEIRO A GAS MAXI J6 C/12 UND,50,4.5
12,f7693,FINI DENTADURAS DP 12X15 G,50,1.2
13,fGENERICO,PVM-MENTOS P.FRESH MONOPECA MINT/WTGREEN DP 90G,50,0.5
14,f203,PVM-MENTOS STICK FRUTAS DP 14X16 UNDS,50,2.2
15,f202,PVM-MENTOS STICK MORANGO/YOGURT DP 14X16 UNDS,50,2.2
16,f204,PVM-MENTOS STICK RAINBOW DP 14X16 UNDS,50,2.2
17,f5571,PVM-MENTOS STICK TUTTI-FRUTTI DP 14X16 UNDS,50,2.2
18,f112325,FINI MINHOCAS DP 12X15 G,50,1.2
19,f1512211,CHICLE SALADA DE FRUTAS DP 18X14 G,50,1.2
20,f1810211,HER-CHOCOTUBES AO LEITE DP 18X25G,50,2.2
21,f9291,FER-NUTELLA B-READY 1X36 UNDS,50,4.2
22,f2021,FER-KINDER CHOCOLATE 1X24 UNDS,50,2.5
23,f72560,FER-KINDER OVO MENINOS 1X12 UNDS,50,8.99
24,f2726,FER-KINDER JOY 1X16 UNDS,50,9.5
25,f2012122,"CPL-SUCO C. LARGO PESSEGO 1,35L",50,14.99
26,f7719,TDC-ROSQUINHA TODESCHINI COCO 400 GR,50,5.99
27,f7647,PPS-AGUA DE COCO KERO COCO-TP-200 ML,50,2.99
28,f2012212,PPS-AGUA DE COCO KERO COCO-TP-330 ML,50,4.5
29,f5058,PPS-AGUA DE COCO KERO COCO-TP-1000 ML,50,12.5
30,f3233,FER-KINDER OVO MENINAS 1X12 UNDS,50,9.5
31,f4395,FER-KINDER BUENO 2X30 UNDS,50,8.2
32,f5902,FER-TIC TAC FRUTAS COMO TE GUSTA 14X16 G,50,2.99
33,f1085,FER-TIC TAC LARANJA 14X16 G,50,2.99
34,f72756,FER-TIC TAC MELANCIA MIX 14X16 G,50,2.99
35,f2668,FER-TIC TAC MENTA 14X16 G,50,2.99
36,f8099,FER-TIC TAC MENTA CRUSH 14X16 G,50,2.99
37,f2326,SEMOLA GRAVATA 500 G GALO,50,5.99
38,f2155,SEMOLA ALETRIA 500 G GALO,50,5.99
39,f3378,STH-PACOQUITA EMB QUADRADA DP C/24 UNDS,50,0.5
40,f6213,FINI TUBES CITRICO MORANGO-DP-12X15 G,50,1.2
41,f200,PVM-MENTOS STICK MINT DP 14X16 UNDS,50,2.99
42,f72791,STH-MENDORATO AMENDOIM JAPONES 70G PACOTE,50,2.99
43,f72286,KCB-ABS INTIMUS GEL SUAVE C/ABAS C/8 UNDS,50,4.5
44,f5465,RAY-PILHA ALCALINA AAA LV04/PG03 UNDS,50,11.5
45,f2643,KCB-PAPEL HIGIENICO NEVE TOQUE DE SEDA FOLHA DUPLA 30M C/4 UNDS,40,7.99
46,f01477888,RAY-PILHA ELET DE LITIO BOTAO TAM CR2032 C/05 UNDS,50,6.5
47,f72452,FINI TUBES GIGANTE MORANGO CITRICO DP 24X27 G,50,2.5
48,f124357,CHICLE MORANGO DP 18X14 G,50,1.2
49,f72727,CHICLE CLASSICOS DP 18X14 G,50,1.2
50,f111225,FINI AMORAS DP 12X15 G,50,1.2
51,f789214,FINI BANANAS DP 12X15 G,50,1.2
52,f72408,FINI TUBES GIGANTE TWISTER DP 24X27 G,50,2.5
53,f1404,FER-TIC TAC MORANGO 14X16 G,50,2.99
54,f85,TDC-BISC TODESCHINI CREAM CRACKER 360 GR,50,5.99
55,f1402221,BIC-REFIL LAMINAS CHROME PLATINUM C/10 UNDS,50,3.99
56,f2632,BIC-APAR DE BARBEAR SENSITIVE 12X2 UNDS,50,1.5
57,f2821,BIC-APAR DE BARBEAR COMFORT 3 BLACK 12X1 UNDS,50,4.5
58,f1166,BIC-APAR DE BARBEAR COMFORT 3 ACT SENSITIVE C/12,50,4.5
59,f345,KCB-ABS INTIMUS GEL NOTURNO SUAVE C/ABAS C/8 UNDS,50,8.5
0,f72797,COCA COLA PET 2 L,35,9.2
1,f65,FANTA  SABORES,50,8.99
2,f67,COCA COLA VIDRO 1 L,20,3.99
3,f246,SCHWEPPES TONICA LATA 350 ML,50,3.5
4,f247,FANTA  PET 600ML,50,4.75
5,f657,DEL VALLE MAIS NeCTAR DE LARANJA,50,7.99
6,f667,SUCO DE UVA DEL VALLE,50,7.99
7,f667,SUCO DE UVA DEL VALLE,50,7.99
8,f693,SPRITE ORIGINAL LIMaO 600ML,50,4.99
9,f694,REFRIGERANTE MISTO DE UVA 2 L,50,8.99
10,f699,COCA  LATA ORIGINAL/ZERO,50,3.99
11,f701,COCA  LATA 350 ML ZERO/ORIGINAL,50,3.25
12,f703,FNTA LATA 350 ML,50,3.2
13,f920,FANTA UVA LATA 350 ML,50,3.2
14,f923,SCHWEPPES CITRS LATA 350 ML,50,3.5
15,f924,COCA COLA PET 600ML,50,4.99
16,f926,COCA COLA ZERO PET 600ML,50,4.99
17,f933,REFRIGERANTE DE LIMaO SPRITE 2 L,50,7.99
18,f1095,Monster energy lt 473 ml,50,8.5
19,f1187,COCA COLA ZERO PET 2 L,35,8.99
20,f1192,FANTA LARANJA 600ML,50,4.99
21,f1660,KAPO MARACUJA 200 ML,50,2.20
22,f1662,KAPO MORANGO 200 ML,50,2.2
23,f1663,KAPO SABOR UVA 200 ML,50,2.2
24,f1874,SUCO DEL VALLE SABOR PESSEGO 1 LT,50,7.99
25,f2047,SUCO DEL VALLE SABOR FRUTAS,50,3.5
26,f2343,COCA    PET,50,6.5
27,f2426,ENERGETICO MONSTER ULTRA VIOLETA,50,8.5
28,f2665,SUCO DE MARACUJA DEL VALLE 1 LT,50,7.99
29,f2775,KAPO SABOR LARANJA 200 ML,50,2.1
30,f3479,SPRITE LT 350 ML,50,2.99
31,f4884,Fanta guarana lata 350 ml,50,2.99
32,f4904,Fanta guarana  2 l,50,8.99
33,f5255,MONSTER ENERY JUICE,50,8.85
34,f6111,INOVE POWERRADE 500 ML UVA VERDE,50,4.99
35,f6539,FANTA RETORNAVEL 2L,50,5.99
36,f6815,coca retornavel zero,20,5.99
37,f6990,DEL VALE FRESH LARANJA UVA 1.5 L,50,4.5
38,f7068,COCA  CAF 220ML,50,1.99
39,f7106,Del valle fresh sabor limao 1.5 L,50,4.5
40,f7114,COCA COLA PET 200ML,50,2.0
41,f7127,Coca pet 200 ml zero,50,2.0
42,f7127,Coca pet 200 ml zero,50,2.0
43,f7127,Coca pet 200 ml zero,50,2.0
44,f7197,cha mate leao 1.5,50,7.2
45,f7596,KUAT 350 ML,50,2.99
46,f7781,GUARAN KUAT 2 LITROS,50,6.99
47,f8055,SCHWEPPES 1.5 L,50,9.5
48,f060502,SUCO DEL VALLE FRUT 1L,50,4.50
49,f72309,MONSTER ENERGY ULTRA 473 ML,50,8.5
50,f72316,DV FRESH SABOR UVA 1.5 L,50,4.5
51,f107215,DEL VALE KAPO MAcA 200ML,50,2.1
52,f208211,REFRIGERANTE SPRITE ZERO 2L,50,6.99
53,f2207211,SUCO SEED AMENDOAS 1L,50,12.99
54,f2405211,SUCO DE SOJA ADES 1L,50,6.49
55,f2405212,SUCO DE SOJA ADES 1L,50,6.5
56,f2705211,FANTA LARANJA 2L RETOPRNVEL,20,5.99
57,f2810214,DV ABACAXI 1L,50,7.99
58,f2857452,SUCO del vale pessego,50,4.35
59,f3009213,MONSTER ENERGY ABS ZERO 473ML,50,8.5
60,f72350,SPRITE FRESH LIMAO PET 510ml 6U FL,50,3.99
61,f2294,CC PET RET 2L 9,20,5.99
62,f247,FANTA Uva 600ml 06Pack F.Liso,50,4.99
63,f7640,I9 MARACUJA 500ML (6) CP,50,4.99
64,f912216,ADES LARANJA TP 1L 6U CP,50,6.5
65,f912215,ADES ORIGINAL TP 1L 6U CP,50,7.2
66,f2054,DV FRUT UVA PET 450ML 6P CP,50,3.5
67,f2342,I9 LIMAO 500ML (6) CP,50,4.99
68,f6111,I9 UVA VERDE 500ML (6) CP,50,4.99
69,f2512215,DV Manga LT 290ML (6U) CP,50,3.2
70,f4253,CRYSTAL 500ML SEM GAS 12UN CP,50,1.99
71,f72797,COCA-COLA ORIGINAL PET 2L (6) FL,35,8.99
72,f3303,GUA POWER  C/ ACAI  CP300ML CP,50,2.99
73,f6557,"MATTE LEAO PESSEGO PET 1,5L (6) CP",50,7.2
74,f3921,I9 TANGERINA 500ML (6) CP,50,4.99
75,f685,MATTE NATURAL COPO 300ML CP,50,2.99
76,f4070,DV FRUT LARANJA PET 450ML 6P CP,50,3.5
77,f72800,EST GALICIA PILSEN LN 355ml (12),50,7.99
0,f72191,AB SEMPRE LIVRE ESP SV C/ ABAS PROM 16UN,50,7.5
1,f29,AGUA SANIT DA ILHA 1l,50,3.99
2,f0912211,AMAC COMFORT CONC L500P400ml CUID INTENS,50,8.99
3,f103204,AMAC COMFORT CONCENT 500ml HYDRA SERUM,50,10.99
4,f2594,"AMAC COMFORT CONCENT 500ml, CUID ESSENC",50,10.99
5,f963,"AMAC M BIJOU P FACIL 2l, AZUL PUREZA",50,10.2
6,f4657,ARROZ BRANCO BURITI LF TP1 1kg,50,5.99
7,f1514,ARROZ PARB BURITI LF TP1 1kg,50,5.2
8,f72369,"BEB SUCO UVA CAMPO LARGO INTEG PET 1,35l",50,13.5
9,f0942,BISC TODESCHINI 360g LEITE,50,5.2
10,f7644,BISC TODESCHINI 360g MAIZENA,50,5.5
11,f547,CREME DE LEITE PIRACANJUBA TP 200g,50,3.5
12,f30,"DET LIQ YPE 500ml, CLEAR",50,3.2
13,f451,"DET LIQ YPE 500ml, COCO",50,2.99
14,f972,FHA TRIGO ANACONDA ESP 1kg,50,5.5
15,f109,FILTRO PAPEL MELITTA 103 ORIGINAL 30UN,50,4.5
16,f0912212,FITA ADES ADERE 12mmX50m,50,2.99
17,f5263,"HAV TRADICIONAL 39/40, AZUL",50,15.99
18,f5638,"HAV TRADICIONAL 41/42, PRETO",50,15.99
19,f2911213,LAVA ROUPAS LIQ BRILHANTE BCO COR 900ml,50,11.5
20,f0912213,VINAGRE ROSANI MACA 500ml,50,2.99
21,f72621,AB CAREFREE BRISA S/ PERF 15UN,50,6.99
22,f12458895,AGUA SANIT DA ILHA 2l,50,6.99
23,f72393,ALCOOL ZULU BACT 70 INPM 1l,50,9.99
24,f2576,COND NEUTROX 200ml 1 CLASSICO,50,8.2
25,f7171,DET PO KLIP CART 1kg,50,5.5
26,f1275,"DET PO TIXAN YPE CART 1kg, MACIEZ",50,10.99
27,f517,"DET PO TIXAN YPE CART 1kg, PRIMAVERA",50,10.99
28,f72761,GELADINHO AMERICANO SORT 40X55ml,50,8.5
29,f3011213,"PAPEL HIG FOLHALEV FD 30m 4UN, NT",50,6.99
30,f72287,DET PO OMO LAVAG PERF 800g,50,13.5
31,f72223,FRALDA CREMER JUMBINHO G 16UN,50,19.5
32,f0907216,FRALDA CREMER JUMBINHO M 18UN,50,19.5
33,f1412211,FRALDA CREMER JUMBINHO P 18UN,50,20.99
34,f72171,LAVA ROUPAS LIQ OMO SACHE LAV PERF 900ml,50,14.5
35,f5050,ARROZ INTEGRAL BURITI TP1 1kg,50,5.99
36,f817,ARROZ PARB BURITI LF TP1 5kg,50,25.2
37,f427,"DESINF LIQ PINHO SOL 500ml, ORIGINAL",50,6.5
38,f7250,DET PO KLIP CART 1kg  PERFUMES INTENSOS,50,5.99
39,f7863,"DET PO TIXAN YPE SACHE 1kg, PRIMAVERA",50,11.99
40,f2063,LEITE COND PIRACANJUBA SEMI DESN TP 395g,50,6.5
41,f161523,PEPINO TAUA 300g,50,11.99
42,f5145,REMOVEDOR ESM BASE ACETONA FARMAX 100ml,50,3.99
43,f2002,"SAB FRANCIS CLASSICO 90g, LJA",50,3.5
44,f7249,SAB FRANCIS SUAVE 85g AZUL L12P11,50,2.2
45,f7250,SAB FRANCIS SUAVE 85g BRANCO L12P11,50,2.2
46,f6944,"SAB LUX BOTANIC GLIC 85g, BUQUE JASMIM",50,2.99
47,f003366,"SAB LUX BOTANIC GLIC 85g, LIRIO AZUL",50,2.99
48,f0807,"SAB LUX BOTANIC GLIC 85g, RS FRANCESAS",50,2.99
49,f816,"VINAGRE CHEMIM ALCOOL 900ml, CLARO",50,2.2
50,f2389,AGUA SANIT QBOA 2l,50,7.5
51,f1146,ARROZ BRANCO TIO JOAO LF TP1 1kg,50,7.99
52,f5397,AZEITONA V FERTIL DOYPACK 120g S/C,50,5.99
53,f7262,AZEITONA V FERTIL SACHE 200g,50,7.5
54,f528,BISC TODESCHINI 360g AGUA E SAL,50,5.5
55,f85,BISC TODESCHINI 360g CREAM CRACKER,50,5.5
56,f036566,"DES REXONA AERO FEM 150ml, COTTON",50,14.5
57,f6408,"DES REXONA AERO FEM 150ml, S/PERF",50,14.5
58,f4606,"DES REXONA AERO MASC 150ml, INVISIBLE",50,16.2
59,f129,"MAIONESE HELLMANNS 500g, TRADICIONAL",50,9.5
60,f7117,MAIONESE HELLMANNS SACHET 400g,50,7.99
61,f6812,ACUCAR REFINADO UNIAO 1kg,50,6.2
62,f5195,AZEITONA V FERTIL DOYPACK 120g FAT,50,5.99
63,f642,MOLHO TOM QUERO SC 340g TRAD,50,2.2
64,f2712213,PAPEL HIG FOLHALEV FS 60m 4UN NEUTRO,50,6.2
65,f5907,SACO LIXO SUPER FORTE ALMOF 100l 5UN,50,8.99
66,f5893,SACO LIXO SUPER FORTE ALMOF 50l 10UN,50,8.99
67,f101304,"SH SEDA 325ml, PRETOS LUMINADOS",50,9.5
68,f2985,"DET LIQ YPE 500ml, CLEAR CARE",50,3.2
69,f444,"DET LIQ YPE 500ml, LIMAO",50,3.2
70,f445,"DET LIQ YPE 500ml, MACA",50,3.2
71,f3469,ADOCANTE LIQ ADOCYL 100ml,50,3.2
72,f157,CAFE CABOCLO VACUO 500g,50,19.5
73,f9898,"CANETA ESF BIC CRISTAL 50UN, AZUL",50,0.99
74,f1275,"DET PO TIXAN YPE SACHE 1kg, MACIEZ",50,12.2
75,f6019,EXTR TOMATE ELEFANTE LT 340g GTS 35g,50,5.5
76,f4669,"HAV TRADICIONAL 39/40, PRETO",50,15.99
77,f1271,MAIONESE QUERO SACHET 200g,50,2.5
78,f72329,SANITIZANTE PO SURF SACHE 800g ROSAS E F,50,8.99
79,f2580,TESOURA ESC CIS KS65,50,3.2
80,f232,BATATA PALHA VISCONTI TRADICIONAL 140g,50,7.5
81,f6816,CD SORRISO TRIPLA LIMP COMP 70g L12P9,50,2.5
82,f2410,"DES REXONA ROLLON FEM 50ml, POWDER",50,10.99
83,f080321,DOCE NUTELLA 140g,50,10.5
84,f267,FAROFA MAND PINDUCA 250g BACON,50,4.5
85,f263,FAROFA MAND PINDUCA 500g TRAD,50,7.5
86,f382,GEL FIX COND BOZZANO 300g AZUL,50,13.99
87,f11276,INSET AERO RAID 285ml MULT,50,12.5
88,f112233,INSET AERO SBP 380ml MULTI,50,14.5
89,f809,PAPEL CHAMEQUINHO BRANCO A4 100FL,50,5.5
90,f72571,"SAB LUX BOTANIC GLIC 85g, CAPIM LIMAO",50,2.5
91,f72116,"SAB LUX BOTANIC GLIC 85g, LAVANDA",50,2.5
92,f4230,AB SEMPRE LIVRE ADAPT C/ ABAS 8UN,50,6.5
93,f153318,"HAV TRADICIONAL 33/34, PRETO",50,15.99
94,f2801221,"SAB PROTEX 85g, BALANCE SAUDAVEL",50,3.99
95,f1111211,ACHOC NESCAU 370g 2.0 ACTIGEN ED LIMIT,50,7.2
96,f74,AGUA SANIT QBOA 1l,50,3.99
97,f2953,AMIDO DE MILHO MILHENA 200g,50,2.99
98,f2093,ESC DEN ORAL B 1 2 3 SM,50,6.5
99,f6169,LIMP VEJA M USO L500P450ml ORIGINAL,50,5.99
100,f7724,MAIONESE HELLMANNS SACHET 200g,50,5.5
101,f2188,"SARDINHA COQUEIRO 125g, TOMATE",50,6.5
102,f253987,"SH SUAVE 325ml, BABOSA/PEPINO",50,7.99
103,f9936,"SH SUAVE 325ml, OLEO COCO/ABACATE",50,7.99
104,f72181,"TINT BEAUTY C, 2.0 PRETO",50,15.99
105,f72180,"TINT BEAUTY C, 3.0 CAST ESC",50,15.99
106,f72176,"TINT BEAUTY C, 4.0 CAST NAT",50,15.99
107,f3405,"TINT BEAUTY C, 5.0 CAST CL",50,15.99
108,f6228,CAFE 3 CORACOES ALMOFADA TRADIC 500g,50,20.99
109,f4389,CAFE MELITTA TRADIC 250g,50,12.50
0,f336622,491273-LAMEN CREM COST MOL CHURRASCO  NISSIN          10X88GR,50,2.2
1,f121,490003-LAMEN GALINHA CAIPIRA          NISSIN            50X85,50,2.5
2,f1553,491002-LAMEN CARNE                    NISSIN            10X85,50,2.5
3,f7670,490049-LAMEN TOMATE TM                NISSIN            50X85,50,2.2
4,f4330,491047-LAMEN GALINHA TM               NISSIN            10X85,50,2.5
5,f4311,491048-LAMEN CARNE TM                 NISSIN            10X85,50,2.2
6,f4459,491205-MAC TALHARIM FRANGO            NISSIN            10X99,50,2.99
7,f4793,491207-MAC TALH BROC MOLHO BRANCO     NISSIN            10X99,50,2.99
8,f9072,491307-MAC TALH QUEIJO E CREME        NISSIN            10X99,50,3.2
9,f7191,491187-CUP NOODLES GALINHA CAIPIRA    NISSIN            03X69,50,4.5
10,f099272,491188-CUP NOODLES CARNE DEFUMADA     NISSIN            03X69,50,4.99
11,f7193,491190-CUP NOOD YAKISSOBA TRADICIONAL NISSIN            03X70,50,4.5
12,f333366,491194-CUP NOODLES FRUTOS DO MAR      NISSIN            03X65,50,4.5
13,f2244,491196-CUP NOODLES LEGUMES C AZEITE   NISSIN            03X67,50,4.5
14,f115018,491279-CUP NOODLES CURRY              NISSIN            03X70,50,4.5
15,f1108217,491362-CUP NOODLES FEIJOADA           NISSIN            03X67,50,4.5
16,f1393,361163-TRAKINAS ++ CHOCOLATE          MONDELEZ         06X126,50,2.99
17,f2284,361164-TRAKINAS ++ MORANGO            MONDELEZ         06X126,50,2.99
18,f72739,361660-CLUB SOC RECH QUEIJO C/TOMATE  MONDELEZ      01X4X26.5,50,5.50
19,f5053,361285-COOKIE LAKA                    MONDELEZ         06X80G,50,5.2
20,f186,351694-TRIDENT T2 MENTA SM            MONDELEZ          05X04,50,1.99
21,f189,351696-TRIDENT T2 MELAN TWIST SM      MONDELEZ          05X04,50,1.99
22,f188,351697-TRIDENT T2 MORANGO SM          MONDELEZ          05X04,50,1.99
23,f101012,361150-TANG UVA L10P8                 MONDELEZ          10X25,50,1.5
24,f983,361291-TANG LARANJA DOCINHA           MONDELEZ          15X25,50,1.5
25,f192710,361441-TANG ABACAXI                   MONDELEZ          15X25,50,1.5
26,f6287,361461-TANG LARANJA                   MONDELEZ          15X25,50,1.5
27,f6274,361466-TANG LIMAO                     MONDELEZ          15X25,50,1.5
28,f120416,361467-TANG MANGA                     MONDELEZ          15X25,50,1.5
29,f134019,361469-TANG MARACUJA                  MONDELEZ          15X25,50,1.5
30,f1252,361487-TANG GOIABA                    MONDELEZ          15X25,50,1.5
31,f120829,361568-TANG TANGERINA                 MONDELEZ          15X25,50,1.5
32,f6189,361576-TANG LARANJA MAMAO             MONDELEZ          15X25,50,1.5
33,f2430,351213-OURO BRANCO 1KG                MONDELEZ        01X1000,50,0.99
34,f7818,361427-BIS AO LEITE XTRA              MONDELEZ          24X45,50,3.2
35,f7158,361350-LAKA OREO 90G                  MONDELEZ          17X90,50,5.99
36,f72189,361357-MIX DIAMANTE NEGRO LAKA 90G    MONDELEZ          17X90,50,5.99
37,f287,361582-SHOT 90G                       MONDELEZ          17X90,50,5.99
38,f3202,361583-DIAMANTE NEGRO 90G             MONDELEZ          17X90,50,5.99
39,f941,351203-SONHO DE VALSA 1KG             MONDELEZ        01X1000,50,0.99
40,f3943,351881-BIS AO LEITE                   MONDELEZ         05X126,50,6.50
41,f3850,351882-BIS LAKA                       MONDELEZ         05X126,50,5.99
42,f4695,"361400-BRAND MIX LACTA 250G           MONDELEZ       01X250,6",50,15.99
43,f4186,361288-COOKIE DIAMANTE                MONDELEZ         06X80G,50,5.2
44,f187,351695-TRIDENT T2 HORTELA SM          MONDELEZ          05X04,50,1.99
45,f80,361278-HALLS MORANGO SM               MONDELEZ     05X03X28,50,1.2
46,f554422,"361282-HALLS EXTRA FORTE SM           MONDELEZ     05X03X27,5",50,1.2
47,f7102,361361-TANG UVA INTENSA               MONDELEZ          15X25,50,1.5
48,f6276,361564-TANG MORANGO                   MONDELEZ          15X25,50,1.5
49,f0101012,361569-TANG UVA                       MONDELEZ          15X25,50,1.5
50,f3168,361988-TANG GUARANA                   MONDELEZ          15X25,50,1.5
51,f119,490001-LAMEN GALINHA                  NISSIN            50X85,50,2.2
52,f4312,490005-LAMEN LEGUMES                  NISSIN            50X85,50,2.2
53,f967423,491094-LAMEN FRANGO COM ALHO          NISSIN            10X85,50,2.2
54,f33669845,491137-LAMEN HOT MEXICANO             NISSIN            10X85,50,2.2
55,f7244,491189-CUP NOOD COST C/M.CHURRASCO    NISSIN            03X68,50,4.5
56,f7194,491192-CUP NOODLES CHEDDAR            NISSIN            03X69,50,4.5
57,f0990720,491193-CUP NOODLES FRANGO TERIYAKI    NISSIN            03X72,50,4.5
58,f001111,491195-CUP NOODLES GALINHA C PICANTE  NISSIN            03X68,50,4.99
59,f3350,491141-YAKISSOBA DESIDRATADO          NISSIN           05X500,50,6.5
60,f124217,661604-CAFE SOLUVEL INSTANT SACHET    MELITTA        01X04X50,50,6.5
61,f1492,361580-AO LEITE 90G                   MONDELEZ          17X90,50,6.99
62,f6311,361079-SHOT 20G                       MONDELEZ          20X20,50,1.99
63,f1711,361165-TRAKINAS 1/2 CHOC/MORANGO      MONDELEZ         06X126,50,2.99
64,f194304,353893-OREO FLOWPACK                  MONDELEZ          01X90,50,4.2
65,f3534,361217-CLUB SOCIAL ORIGINAL           MONDELEZ        01X6X24,50,5.2
66,f800,361225-CLUB SOCIAL INTEGRAL           MONDELEZ        01X6X24,50,5.2
67,f9641,361287-COOKIE AO LEITE                MONDELEZ         06X80G,50,5.2
68,f192710,361149-TANG ABACAXI L10P8             MONDELEZ          10X25,50,1.5
69,f6287,361151-TANG LARANJA L10P8             MONDELEZ          10X25,50,1.5
70,f568,491204-MAC TALHARIM BOLONHESA         NISSIN            10X99,50,2.99
71,f109,661536-PORTA FILTRO 103 CORES         MELITTA           01X01,50,11.99
72,f7130,361360-AMARO 90G                      MONDELEZ          17X90,50,5.99
73,f1491,361581-LAKA 90G                       MONDELEZ          17X90,50,5.99
74,f2060,351679-BUBBLY AERADO AO LEITE 110G    MONDELEZ         12X110,50,6.99
75,f4430,361428-BIS BLACK XTRA                 MONDELEZ          24X45,50,3.2
76,f7818,361429-BIS OREO XTRA                  MONDELEZ          24X45,50,3.2
77,f1712,361166-TRAKINAS 1/2 CHOC/CHOC BRANCO  MONDELEZ         06X126,50,2.99
78,f194304,361171-OREO CHOCOLATE FLOWPACK        MONDELEZ          06X90,50,4.2
79,f996653,361276-HALLS CEREJA SM                MONDELEZ     05X03X28,50,1.2
80,f998836,361279-HALLS MENTA SM                 MONDELEZ     05X03X28,50,1.2
81,f5805,361369-LACTA INTENSE ORIGINAL 60      MONDELEZ          17X85,50,7.5
82,f6310,361081-AO LEITE 20G                   MONDELEZ          20X20,50,1.99
83,f1006211,361661-CLUB SOC RECH REQUEIJAO        MONDELEZ      01X4X26.5,50,5.2
84,f7814,491185-LAMEN CREMOSO FRANGO F18       NISSIN            10X88,50,2.2
85,f077,491274-LAMEN CREM MOLHO DE QUEIJO     NISSIN          10X88GR,50,2.2
86,f6834,491006-LAMEN BACON                    NISSIN            10X85,50,2.2
87,f653214,491064-LAMEN CARNE TOMATE             NISSIN            10X85,50,2.2
88,f995513,491093-LAMEN COSTELA                  NISSIN            10X85,50,2.2
89,f00022,491352-LAMEN CANJINHA DE GALINHA      NISSIN            10X75,50,2.5
90,f7195,491191-CUP NOODLES BOLONHESA          NISSIN            03X72,50,4.5
91,f4389,661072-CAFE TRADICIONAL               MELITTA          01X250,50,12.99
92,f1493,361332-BELVITA MACA E CANELA 75G      MONDELEZ        01X3X25,50,4.99
93,f10215,361333-BELVITA AVELA 75G              MONDELEZ        01X3X25,50,4.99
94,f501,361335-BELVITA MEL 75G                MONDELEZ        01X3X25,50,4.99
95,f3664,361337-BELVITA CACAU CEREAIS          MONDELEZ        01X3X25,50,4.99
96,f1316,361338-BELVITA LEITE 75G              MONDELEZ        01X3X25,50,4.99
97,f1862,351698-TRIDENT T2 TUTTI FRUTT SM      MONDELEZ          05X04,50,1.99
98,f8094,361310-LAKA OREO 20G                  MONDELEZ          20X20,50,2.2
99,fGENERICO,361112-GEL REG FRAMBOESA 25G          MONDELEZ          15X25,50,1.99
100,f1102221,491353-LAMEN CALDINHO DE FEIJAO       NISSIN            10X75,50,2.5
101,f1535,491015-MACARRAO T3                    NISSIN           05X500,50,7.5
102,f1534,491016-MACARRAO T5                    NISSIN           05X500,50,7.5
103,f4309,661105-CAPUCCINO TRADICIONAL          MELITTA          03X200,50,12.5
104,f72760,661512-CAFE SOL GRAN DESCAF 50G       MELITTA           03X50,50,12.99
105,f113514,361119-GEL REG ABACAXI 25G            MONDELEZ          15X25,50,1.99
0,f2990,PRESERV BLOWTEX SABOR AROMA MORANGO C 3,50,4.99
1,f72324,PRESERV BLOWTEX SABOR AROMA MOR CHOC C3,50,4.99
2,f6166,AGUA OXIGENADA 40VOL FARMAX 90ML,50,2.99
3,f1921,COND NEUTROX 1 CLASSICO 500ML,50,13.99
4,f2002226,LENCO UMED ANTISS BARUEL PROTECT 20UN,50,8.99
5,f3403,T.BEAUTY C KIT 2.11 PRETO AZULADO,50,15.99
6,f2330,TAL BARUEL TENYS PE ORIGINAL PO 100G,50,11.20
0,f102010,SEDA SH SOS CERAMIDAS 325ML UNICA 325ML.,50,9.99
1,f7714,SEDA CO SOS CERAMIDAS 325ML 325ML.,50,12.99
2,f1502221,CREME DE PENTEAR SEDA COLAGENO E VITAMINA C 12X300ML U.,50,12.99
3,f253987,SUAVE CO BABOSA E PEPINO 325ML.,50,10.5
4,f7117,HELLMANNS MAI DP 400G.,50,6.99
5,f1702221,BRILHANTE DT LIQ HIGI TOT 900ML NE U.,50,11.99
0,f72552,BISC.WAFER ISABELA LIMAO,50,1.99
1,f0355456,BISC.TORTINHAS TRUFA,50,2.99
2,f2112218,BISC.TORTINHAS DOCE DE LEITE MU-MU,50,2.99
3,f3832,BISC.TORTINHAS TORTA DE LIMAO,50,2.99
4,f72271,TORRADA ISABELA INTEGRAL,50,3.5
5,f23656,BISC.TORTINHAS CHOCOLATE,50,2.99
6,f89872,BISC.TORTINHAS MORANGO,50,2.99
