,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f170,f1607213,BATATA PALHA EXTRA FINA 15 X 250G,50,1,10.20
1,f31,f3502,BATATA PALHA 250G,50,1,10.20
2,f30,f3756,BATATA PALHA 80G,50,1,3.99
3,f24,f3501,CANUDOS PARA RECHEAR,50,1,11.99
4,f16,f72225,MASSA LASANHA 500G,50,1,8.50
5,f12,f7073,MASSA PASTEL DISCO 200G,50,1,3.99
6,f11,f72226,MASSA PASTEL DISCO 400G,50,1,6.20
7,f10,f3493,MASSA PASTEL DISCO 500G,50,1,7.99
8,f8,f3755,MASSA PASTEL ROLO 1KG,50,1,11.20
9,f23,f10142,NHOQUE DE BATATA 500G,40,1,8.20
