,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
60,f81,f7254,MINI CHICKEN FRANGO 275G CX 15UN P/A UN 275G,50,1,11.99
61,f99228,f271219,MORT BOLOGNA OURO FAT PCT4X200G CX20UNPA PCT 4UN,50,1,9.99
62,f102443,f10132,QUEIJO MUSSARELA FAT 200GPCT4UN CX20UNPA PCT 4UN,50,1,10.99
63,f99960,f4472,MARGARINA CLAYBOM C/SAL 250G CX 24UN P CX 24UN,50,1,3.99
64,f3397,f2059,MARGARINA QUALY C/SAL 500G CX 12UN P CX 12UN,50,1,10.99
65,f94700,f0925,"FGO FRANGO CARCACA 1.9KG CG CX15,2KGP CX15.2KG",50,1,17.99
66,f102733,f1033,"BACON PERNIL MANTA PC+-3,5KG CX +-14KG A PC +-3,5KG",50,1,27.2
67,f99959,f2934,MARGARINA CLAYBOM C/SAL 500G CX12UNP CX 12UN,50,1,7.5
68,f101855,f72392,BANHA BLD 850G CX12UN P/A BLD 850G,50,1,16.5
69,f99605,f1296,MINI CHICKEN FR C/QUEIJO 275G CX15UN P/A UN 275G,50,1,11.99
70,f61,f0906212,MORT BOLOGNA TRAD FAT PCT3X200G CX21UNPA PCT 3UN,50,1,9.2
71,f99698,f7853,LASANHA PEITO PERU DEF UN600G CX 6UN P/A UN 600G,50,1,14.2
72,f97341,f7264,POLENTA PALITO PCT400G CX25UN P/A UN 400 G,50,1,4.5
73,f80,f883,HAMB 56G CX 36UN / 2.016KG P CX 36UN,50,1,1.99
74,f104062,f1029,FGO PES INTERF CG CX 15KG P CX 15KG,50,1,5.99
75,f103826,f0102221,FETTUCCINE PERU/BROCOL UN350G CX12UN P/A UN 350G,50,1,8.99
76,f103706,f1108213,ESCONDIDINHO DE CARNE CX6X600G P/A UN 600G,50,1,22.99
77,f99246,f1009,FGO COXINHA ASA IND CG CX18KG P CX 18KG,50,1,13.99
78,f104024,f1033,"BACON PERNIL PC+-2,5KG CX+-25KG A PCT+-2,5KG",50,1,30.99
79,f104992,f0002,QUEIJO MUSSARELA INT PC+-4KG CX+-24KG A PC +-4KG,70,1,53.99
80,f70,f1028,SALSICHA CG PCT 5KG CX 20KG P/A PCT 5KG,50,1,16.99
81,f95398,f0925,"FGO FRANGO CARCACA 1.8KG CG CX14,4KGP CX 14,4 KG",50,1,17.99
82,f103713,f1504226,PENNE MOLHO SUGO+ALMONDEGA 600G CX6UN PA UN 600G,50,1,15.20
83,f100270,f72890,CREAM CHEESE 150G 3UN CX 12UN P/A PCT 3UN,50,1,9.50
84,f98561,f0906211,PATE DE FRANGO 100G PCT 5UN CX 25UN P/A PCT 5UN,50,1,5.20
85,f98562,f2345,PATE DE PRESUNTO 100G PCT5UN CX 25UN P/A PCT 5UN,50,1,5.20
86,f105328,f0925,FGO FRANGO CARCACA 1.8KG CG CX18KGP CX 18KG,50,1,16.50
87,f104282,f7159,LING SUINA PCT1KG CG CX15KG P/A PCT 1KG,50,1,18.20
88,f104694,f2538,BOV MUSCULO TRASEIRO RF CX+-25KG CX +-25KG,50,1,32.50
89,f101796,f2619,PATE DE P.PERU 100G PCT 5UN CX25UN P/A PCT 5UN,50,1,5.99
90,f8518,f2538,BOV MUSCULO TRASEIRO RF CX+-25KG CX +-25KG,50,1,32.50
91,f103827,f2306212   ,PENNE C/MOLHO PARISIENSE UN350G CX12UN P UN 350G,50,1,10.20
92,f105542,f3006221,TORTA SUINA C/BARBECUE CX6X500G P/A UN 500G,50,1,19.99
93,f104302,f0002,QJO MUSSARELA PC+-4KG CX+-24KG A PC+-4KG,70,1,77.99
94,f104437,f6198,MARGARINA C/SAL DELICIA 500G CX12UN P CX 12UN,50,1,9.20
95,f103465,f72918,SANDUICHE X-BURG MAION 145G 3UN CX18P/A PCT 3UN,50,1,9.99
96,f100762,f0925,FGO FRANGO CARCACA CG 1.8KG CX+-18KG P CX +-18KG,50,1,18.99
97,f94905,f3132,SANDUICHE X-BURGER 145G 3UN CX18 P/A PCT 3UN,50,1,9.20
98,f104976,f2807225,VEG SANDUICHE BURGER 145G 3UN CX18UNPA PCT 3UN,50,1,8.99
99,f804,f1181,MARGARINA S/SAL QUALY 500G CX 12UN P CX 12UN,50,1,11.99
100,f102224,f1008221,LING FRANGO FINA PCT 800G CX15UN P/A PCT 800G,50,1,15.99
101,f105537,f7479,FGO MEIO DA ASA CG ITF CX15KG P CX 15KG,50,1,20.99
102,f100488,f0925,FGO FRANGO CARCACA CG 2.0KG CX20KG P CX 20KG,50,1,16.99
103,f105660,f1003,SUI CARRE C/O S/P CG PC+-6KG CX+-20KG CX +-20KG,60,1,16.50
104,f104983,f1908221,BLANQUET PERU 150G 4UN CX20UN P/A PCT 4UN,50,1,10.50
105,f103703,f7506,PAO QUEIJO TRAD 375G CX20UN P/A UN 375 G,50,1,9.99
106,f94903,f3137,MARGARINA S/SAL QUALY 250G CX24UN P CX 24UN,50,1,7.99
107,f98128,f1031,FGO FIGADO CG PCT CX18KG P CX 18KG,50,1,6.50
108,f98023,f2538,BOV MUSCULO TRAS RF CX+-27KG CX +-27KG,36,1,29.50
109,f104052,f0906217,PEITO PERU FAT SOLTIS 200G 3UN CX21UNP/A PCT 3UN,50,1,17.99
110,f89,f72909,STEAK RECHEADO QJO/PRE 100G CX30UN P CX 30UN,50,1,3.50
111,f105832,f0925,"FGO FRANGO CARCACA CG 1.9KG CX18,9KG P CX 18,9KG",50,1,17.99
112,f102657,f1032,FGO MOELA CG BDJ1KG CX12KG P/A UN 1KG,50,1,13.99
113,f101956,f72932,SALSICHA HOT DOG RF 500G 6UN CX12UN P/A PCT 6UN,50,1,10.99
114,f95340,f1033,BACON MANTA PC +-4KG CX10KG A PC +- 4 KG,60,1,33.99
115,f100131,f1043,SUI COSTELA TIRA C/O S/PCG+-2KG CX18KGP CX 18KG,50,1,22.50
116,f105545,f7479,FGO MEIO DA ASA CG ITF CX15KG P CX 15KG,50,1,21.20
117,f98829,f1033,BACON PALETA PC+-4KG CX+-20KG A PC +-4KG,60,1,30.50
118,f105578,f2137,FGO CAIPIRA INT CG CX +-14KG CX +-14KG,50,1,16.99
119,f105782,f2538,BOV MUSCULO TRAS RF CX+-22KG CX+-22KG,36,1,28.20
120,f105903,f2010221,PRESUNTO FAT 180G 2UN CX 22UN P/A PCT 2UN,50,1,6.50
121,f98,f1033,BACON MANTA PC +-4KG CX +-13KG A PC +- 4KG,60,1,35.50
122,f97593,f0925,"FGO FRANGO CARCACA CG 1.8KG CX14,4KG P CX 14,4KG",50,1,16.99
123,f105339,f2539,FGO ASA CG ITF CX20KG P CX 20KG,50,1,19.20
124,f98802,f1009,FGO COXINHA ASA CG PCT CX18KG P CX 18 KG,50,1,18.99
125,f104023,f1033,BACON PALETA PC+-3KG CX+-25KG A PCT +-3 KG,60,1,31.50
126,f95350,f1074,BOV MIOLO ALCATRA RF CX+-23KG CX +-23KG,35,1,51.99
127,f780,f2465,HAMB 90G CX 36UN / 3.240KG P CX 36UN,50,1,3.50
128,f479,f2621,HAMB BOV 56G CX36UN P CX 36UN,50,1,2.20
129,f97955,f0925,"FGO FRANGO CARCACA CG 1.9KG CX13,3KG P CX 13,3KG",50,1,14.99
130,f100168,f72410,PES FILE TILAPIA V S/E 800G 4UN CX12UNPA PCT 4UN,50,1,62.99
131,f96159,f2536,LING SUINA CG PCT 5KG CX20KG P/A PCT 5KG,40,1,24.99
132,f97945,f1009,FGO COXINHA ASA CG IND CX20KG P CX 20KG,50,1,15.99
133,f98716,f1005,FGO SAMBIQUIRA CG PCT CX20KG P CX 20KG,50,1,6.20
134,f96222,f1031,FGO FIGADO CG ALM 1KG CX15KG P CX 15KG,50,1,6.20
135,f94314,f1006,FGO FILE PEITO S/P CG IND CX18KG P CX 18KG,50,1,17.50
136,f103131,f1008,FGO COXA/SOB CG IND CX18KG P CX 18KG,50,1,10.99
137,f99704,f2539,FGO ASA CG PCT CX18KG P CX 18KG,50,1,15.99
138,f95521,f0925,"FGO FRANGO CARCACA CG 1.7KG CX13,6KGP CX 13,6KG",50,1,14.99
139,f97191,f1008,FGO COXA/SOB CG IND CX18KG P CX 18KG,50,1,10.99
140,f95465,f1005,FGO SAMBIQUIRA CG ALM CX20KG P CX 20KG,50,1,7.50
141,f106027,f00037,MANTEIGA C/SAL TABLET 200G CX 12UN P/A UN 200G,50,1,15.99
142,f98295,f1023,BOV COSTELA GROSSA C/O GRILL CGCX+-21KG CX +-21KG,36,1,22.99
143,f98269,f1008,FGO COXA/SOB CG IND CX18KG P CX 18KG,50,1,11.99
144,f106295,f1003,SUI CARRE C/O S/P CG PC+-6KG CX+-20KG CX +-20KG,60,1,19.99
145,f478,f5038,HAMB BOV 90G CX36UN P CX 36UN,50,1,3.50
146,f100573,f2539,FGO ASA CG IND CX18KG P CX 18KG,50,1,16.20
147,f104184,f1006,FGO FILE PEITO S/P CG IND CX17KG P CX 17KG,50,1,16.99
148,f106393,f1074,BOV MIOLO ALCATRA CG CX+-12KG CX +-12KG,35,1,41.50
149,f96054,f2539,FGO ASA CG ALM CX20KG P CX 20KG,50,1,16.50
150,f105958,f1005231,MINI PIZZA CALABRESA 100G 2UN CX11UN P/A PCT 200G,50,1,11.99
151,f105959,f1005232,MINI PIZZA FRANGO 100G 2UN CX11UN P/A PCT 200G,50,1,11.99
152,f106361,f1009,FGO COXINHA ASA CG PCT CX18KG P CX 18KG,50,1,14.50
153,f104628,f2405231,MORT C/G FAT 150G 5UN CX70UN A PCT 5UN,50,1,3.50
154,f105006,f0028,MORT BOLOGNA DEF FAT100G 5UN CX80UNPA PCT 5UN,50,1,3.50
155,f106633,f1033,"BACON PERNIL PC+-1,5KG CX+-25KG A PC +-1,5KG",60,1,32.20
156,f100367,f2137,FGO CAIPIRA INT CG CX18KG P CX 18KG,50,1,23.99
157,f149,f1009,FGO COXINHA ASA CG PCT CX18KG P CX 18KG,50,1,12.99
158,f102247,f72411,PES FILE TILAPIA ISCAS CG PCT500G CX8KGP CX 16UN,50,1,27.50
159,f106591,f1009,FGO COXINHA ASA CG IQF 1KG CX12KG P CX 12KG,50,1,13.99
160,f104627,f09032310,MORT S/G FAT 150G 5UN CX70UN PCT 5UN,50,1,3.20
161,f105892,f2538,BOV MUSCULO TRAS CG CX+-25KG CX +-25KG,36,1,24.99
